text,screen_name,created,favoriteCount,retweetCount,lang,location
"A person who implies that veterans suffering from PTS are not ""strong"" is unfit to be Commander-in-Chief. Period. https://t.co/Z0WFGWLwqe",HillaryClinton,2016-10-04,9033,4089,en,"New York, NY"
Concerned for the millions of families in Hurricane Matthew's path. You can donate to help those in need here. https://t.co/cZ1mBHhWtD -H,HillaryClinton,2016-10-04,3277,1436,en,"New York, NY"
".@TimKaine's spent his whole life fighting for working families, so I have no doubt he'll do the same tonight. Go get 'em, Tim. -H",HillaryClinton,2016-10-04,11736,3198,en,"New York, NY"
.@TimKaine is going to finish this campaign the same way he started his career<U+0097>fighting for working families. https://t.co/c2VlpSRaSM,HillaryClinton,2016-10-04,4919,2036,en,"New York, NY"
".@TimKaine wears his ""F"" rating from the @NRA like a badge of honor. https://t.co/baXTptc1OM",HillaryClinton,2016-10-04,6660,2035,en,"New York, NY"
Our veterans and military families deserve better than what Donald Trump says about them. https://t.co/1gbXA2gvas,HillaryClinton,2016-10-04,4207,1730,en,"New York, NY"
"If Trump's decisiveness in choosing Mike Pence as his running mate is any indication, he'll be great at making hard<U+0085> https://t.co/KATfOSrAn8",HillaryClinton,2016-10-04,6992,3054,en,"New York, NY"
"Post-traumatic stress isn't something strong people can handle &amp; weak people can't.Trump<U+0092>s comments aren't just ignorant, they<U+0092>re harmful.",HillaryClinton,2016-10-04,10701,4077,en,"New York, NY"
"Number of times Trump has tweeted at @Rosie: 65Number of times Trump has tweeted in support of Mike Pence, his running mate: 21 #VPDebate",HillaryClinton,2016-10-04,25734,10637,en,"New York, NY"
"Tonight, Mike Pence will either have to leave Trump out to dry<U+0097>or try to justify the things they both believe.<U+0085> https://t.co/xePXXGgit3",HillaryClinton,2016-10-04,4268,2155,en,"New York, NY"
Tim is a good man. He<U+0092>s a true progressive. And he will make a great vice president. <U+0097>@POTUS on @TimKaine https://t.co/bPBJ4NdCPX,HillaryClinton,2016-10-04,3071,1068,en,"New York, NY"
"With 35 days left, Hillary's in PA talking about how she'll help kids and families. Join the conversation live <U+2192> https://t.co/mxU5zwHHmu",HillaryClinton,2016-10-04,3387,926,en,"New York, NY"
We had our best analysts create a calculator to see how much you'd pay in taxes if you paid the same as Trump: https://t.co/BskIktnp3Y,HillaryClinton,2016-10-04,3175,1298,en,"New York, NY"
"Contributing nothing to our military, public schools, kids' health care, and more doesn't make you ""smart."" https://t.co/HKAvxfCigr",HillaryClinton,2016-10-04,7146,3655,en,"New York, NY"
Mike Pence has actually signed into law hateful policies like those touted by Donald Trump. https://t.co/0d5C1tBxmc,HillaryClinton,2016-10-04,2261,1185,en,"New York, NY"
"Under Hillary<U+0092>s plan, if your family earns $125,000 or less, you'll be able to go to a public college tuition-free. https://t.co/PSA3wHyHXM",HillaryClinton,2016-10-04,2851,1202,en,"New York, NY"
<U+0093>I learned that preparation is important.<U+0094> <U+0097>Hillary on what she learned by debating Donald Trump,HillaryClinton,2016-10-04,3868,905,en,"New York, NY"
.@timkaine just reminded Mike Pence of the bigoted things Trump has said about millions of Americans<U+0097>and Pence couldn't defend it. #VPDebate,HillaryClinton,2016-10-05,9870,3768,en,"New York, NY"
Tim Kaine is right: We should stop praising Putin. #VPDebate https://t.co/OVMdxGT736,HillaryClinton,2016-10-05,7022,3432,en,"New York, NY"
"Wonder if Trump has shown Pence his ""secret plan"" to defeat ISIS. We<U+0092>re still waiting. #VPDebate https://t.co/zxjpFcmzzf",HillaryClinton,2016-10-05,8195,3363,en,"New York, NY"
"Actually, @mike_pence, your running mate did say that. https://t.co/qtAiHWDqsr #VPDebate https://t.co/youtybAqic",HillaryClinton,2016-10-05,7215,4017,en,"New York, NY"
Great move by Chobani. Every parent deserves access to paid family leave. https://t.co/QhvjjlbznX,HillaryClinton,2016-10-05,5240,1654,en,"New York, NY"
"When Mike Pence says he and Donald Trump won't raise taxes, he's lying. https://t.co/EZhrqmjfOF #VPDebate",HillaryClinton,2016-10-05,4581,2606,en,"New York, NY"
"""Hillary Clinton and Tim Kaine want to build on Obamacare."" <U+0097>Mike PenceFact check: True. #VPDebate",HillaryClinton,2016-10-05,6011,1995,en,"New York, NY"
Lucky to have a partner like @TimKaine who stood up for our shared vision tonight<U+0097>instead of trying to deny it. #VPDebate,HillaryClinton,2016-10-05,26381,7388,en,"New York, NY"
"Thanks for the kind words, Mike. #VPDebate https://t.co/DfObNG1PM3",HillaryClinton,2016-10-05,17978,8350,en,"New York, NY"
"In Mike Pence's defense, we wouldn't want to defend Donald Trump, either. #VPDebate https://t.co/Z2jV6FNzFl",HillaryClinton,2016-10-05,26188,14383,en,"New York, NY"
"Reminder: Donald Trump may not have paid any federal income taxes for 18 years, but wants to give his family a $4 billion tax cut. #VPDebate",HillaryClinton,2016-10-05,6367,2715,en,"New York, NY"
The headline says it all. https://t.co/mMCFxUuwvq #VPdebate,HillaryClinton,2016-10-05,7826,3883,en,"New York, NY"
