text,screen_name,created,favoriteCount,retweetCount,lang,hashtags,location
"RT @DanScavino: WE LOVE OUR DEPLORABLES!!!#TrumpTrain #Debates2016 https://t.co/2Nt9ID3tV7",realDonaldTrump,2016-10-10,0,7467,en,TrumpTrain Debates2016,NA
Our country has the slowest growth since 1929. #BigLeagueTruth #debate,realDonaldTrump,2016-10-10,24488,9445,en,BigLeagueTruth debate,NA
"RT @TeamTrump: ""She calls our people deplorable and irredeemable. I will be a president for ALL of our people."" - @RealDonaldTrump #BigLeag",realDonaldTrump,2016-10-10,0,12023,en,NA,NA
"RT @KellyannePolls: After a decent first debate, @HillaryClinton is back to form: pedantic, lawyerly, technocratic, (woefully untruthful) r",realDonaldTrump,2016-10-10,0,11265,en,NA,NA
"RT @DonaldJTrumpJr: Ironic since Hillary has gotten a lot more of that ""dark unaccountable money"" into her campaign. #debates",realDonaldTrump,2016-10-10,0,7980,en,debates,NA
"Hypocrite: @HillaryClinton is the single biggest beneficiary of Citizens United in history, by far. #debate #bigleaguetruth",realDonaldTrump,2016-10-10,29554,12086,en,debate bigleaguetruth,NA
"MY PRO-GROWTH Econ Plan:<U+2705>Eliminate excessive regulations! <U+2705>Lean government!<U+2705>Lower taxes!#Debates https://t.co/OchcnuSAgR",realDonaldTrump,2016-10-10,26650,11693,en,Debates,University City
RT @TeamTrump: Its US vs. them! @realDonaldTrump will fight for you! #BigLeagueTruth #Debates,realDonaldTrump,2016-10-10,0,7255,en,BigLeagueTruth Debates,NA
RT @DonaldJTrumpJr: Someone please fact check her coal comments. Give me a break. #debates,realDonaldTrump,2016-10-10,0,11007,en,debates,NA
RT @TeamTrump: RT if you agree @realDonaldTrump WON the #Debate- BIG LEAGUE! #MAGA https://t.co/EmwDZ32uAZ,realDonaldTrump,2016-10-10,0,31050,en,Debate MAGA,NA
RT @mike_pence: Congrats to my running mate @realDonaldTrump on a big debate win! Proud to stand with you as we #MAGA.,realDonaldTrump,2016-10-10,0,40947,en,MAGA,NA
"Thank you St. Louis, Missouri!#MakeAmericaGreatAgain  https://t.co/2llBltf0mE https://t.co/wBmVxf1a9D",realDonaldTrump,2016-10-10,55068,16054,en,MakeAmericaGreatAgain,NA
Thank you for all of the great comments on the debate last night. Very exciting!,realDonaldTrump,2016-10-10,49978,11830,en,NA,NA
"Paul Ryan should spend more time on balancing the budget, jobs and illegal immigration and not waste his time on fighting Republican nominee",realDonaldTrump,2016-10-10,80078,29877,en,NA,NA
CNN is the worst - fortunately they have bad ratings because everyone knows they are biased. https://t.co/oFRfNY2rUY,realDonaldTrump,2016-10-10,33739,14248,en,NA,United States
"Debate polls look great - thank you!#MAGA #AmericaFirst https://t.co/4peQ3Sswdz",realDonaldTrump,2016-10-10,35546,15784,en,MAGA AmericaFirst,United States
"Wow, @CNN got caught fixing their ""focus group"" in order to make Crooked Hillary look better. Really pathetic and totally dishonest!",realDonaldTrump,2016-10-10,68777,28430,en,NA,NA
Is this really America? Terrible! https://t.co/WiwC61PIFu,realDonaldTrump,2016-10-10,38997,19961,en,NA,Wilkes-Barre
"Thank you Pennsylvania. This is a MOVEMENT like we have never seen before! #VoteTrumpPence16 on 11/8/16- together, https://t.co/x0197JL5RU",realDonaldTrump,2016-11-10,38979,15064,en,VoteTrumpPence16,Pennsylvania
"Despite winning the second debate in a landslide (every poll), it is hard to do well when Paul Ryan and others give zero support!",realDonaldTrump,2016-11-10,57845,18075,en,NA,NA
"Our very weak and ineffective leader, Paul Ryan, had a bad conference call where his members went wild at his disloyalty.",realDonaldTrump,2016-11-10,43425,17834,en,NA,NA
It is so nice that the shackles have been taken off me and I can now fight for America the way I want to.,realDonaldTrump,2016-11-10,63750,23814,en,NA,NA
With the exception of cheating Bernie out of the nom the Dems have always proven to be far more loyal to each other than the Republicans!,realDonaldTrump,2016-11-10,41319,14953,en,NA,Queens
Disloyal R's are far more difficult than Crooked Hillary. They come at you from all sides. They dont know how to win - I will teach them!,realDonaldTrump,2016-11-10,55544,22030,en,NA,NA
Wow. Unbelievable. https://t.co/RcBPCcmwnD,realDonaldTrump,2016-11-10,31144,19108,en,NA,United States
"13 states have voter registration deadlines TODAY: FL, OH, PA, MI, GA, TX, NM, IN, LA, TN, AR, KY, SC.Register: https://t.co/wAtnFpN6wL",DonaldJTrumpJr,2016-11-10,13888,6735,en,NA,NA
"The very foul mouthed Sen. John McCain begged for my support during his  primary (I gave, he won), then dropped me over locker room remarks!",realDonaldTrump,2016-11-10,47790,21413,en,NA,NA
"In Texas now, leaving soon for BIG rally in Florida!",realDonaldTrump,2016-11-10,28450,8161,en,NA,NA
I hope people are looking at the disgraceful behavior of Hillary Clinton as exposed by WikiLeaks. She is unfit to run.,realDonaldTrump,2016-11-10,55869,23333,en,NA,NA
"Crooked's State Dept gave special attention to ""Friends of Bill"" after the Haiti Earthquake. Unbelievable! https://t.co/opP2l8ln0J",realDonaldTrump,2016-11-10,21811,13138,en,NA,United States
DON'T LET HER FOOL US AGAIN. https://t.co/3QSoADFh7S,realDonaldTrump,2016-11-10,51009,28521,en,NA,United States
VOTER REGISTRATION DEADLINES TODAY. You can register now at: https://t.co/HfihPEA3Sp and get out to https://t.co/LlFdF0DRX4,realDonaldTrump,2016-11-10,17088,8110,en,NA,Dallas
Thank you Texas! If you haven't registered to VOTE- today is your last day. Go to: https://t.co/HfihPEA3Sp &amp; get ou https://t.co/gxbDRD4x2k,realDonaldTrump,2016-11-10,30626,12585,en,NA,Texas
"Wow, @CNN Town Hall questions were given to Crooked Hillary Clinton in advance of big debates against Bernie Sanders. Hillary &amp; CNN FRAUD!",realDonaldTrump,2016-11-10,59549,28817,en,NA,NA
"Join me Thursday in Florida &amp; Ohio!West Palm Beach, FL at noon:https://t.co/jwbZnQhxg9Cincinnati, OH this 7:30pm:https://t.co/5w2UhalPIx",realDonaldTrump,2016-12-10,19473,7781,en,NA,Florida
Thank you Florida- a MOVEMENT that has never been seen before and will never be seen again. Lets get out &amp; https://t.co/t9XM9wFDZI,realDonaldTrump,2016-12-10,49113,18847,en,NA,Florida
Crooked Hillary Clinton likes to talk about the things she will do but she has been there for 30 years - why didn't she do them?,realDonaldTrump,2016-12-10,50278,18396,en,NA,NA
Very little pick-up by the dishonest media of incredible information provided by WikiLeaks. So dishonest! Rigged system!,realDonaldTrump,2016-12-10,54591,22706,en,NA,United States
"PAY TO PLAY POLITICS. #CrookedHillary https://t.co/wjsl8ITVvk",realDonaldTrump,2016-12-10,42621,25012,en,CrookedHillary,Florida
The people of Cuba have struggled too long. Will reverse Obama's Executive Orders and concessions towards Cuba until freedoms are restored.,realDonaldTrump,2016-12-10,39456,14637,en,NA,NA
"The MOVEMENT in Lakeland, Florida. Voter registration extended to 10/18. REGISTER ASAP @ https://t.co/HfihPERFgZ &amp; https://t.co/PygIlshrgv",realDonaldTrump,2016-12-10,26870,11605,en,NA,NA
"I will be in Cincinnati, Ohio tomorrow night at 7:30pm- join me! #OhioVotesEarly #VoteTrumpPence16 Tickets: https://t.co/Bp5iHKbT2d",realDonaldTrump,2016-12-10,22876,8843,en,OhioVotesEarly VoteTrumpPence16,Florida
"Why didn't the writer of the twelve year old article in People Magazine mention the ""incident"" in her story. Because it did not happen!",realDonaldTrump,NA,41597,15509,en,NA,NA
The phony story in the failing @nytimes is a TOTAL FABRICATION. Written by same people as last discredited story on women. WATCH!,realDonaldTrump,NA,35915,14601,en,NA,NA
"Join me in Ohio &amp; Maine!Cincinnati, Ohio- tonight @ 7:30pm: https://t.co/XlHGD1VrMoBangor, Maine - Saturday @ 3pm https://t.co/DYHPQYBwpK",realDonaldTrump,NA,18725,7252,en,NA,Florida
Thank you! #MAGA #AmericaFirst https://t.co/fG313wjlKm,realDonaldTrump,NA,31935,13910,en,MAGA AmericaFirst,Florida
"I am making a major speech in West Palm Beach, Florida at noon. Tune in!",realDonaldTrump,NA,30879,9557,en,NA,Florida
Just left a great rally in Florida - now heading to Ohio for two more. Will be there soon.,realDonaldTrump,NA,31494,8754,en,NA,NA
"Great event in Columbus- taking off for Cincinnati now. Great new Ohio poll out- thank you!OHIO NBC/WSJ/MARIST POLLTrump 42% Clinton 41%",realDonaldTrump,NA,30904,10439,en,NA,Columbus
"""This is a crossroads in the history of our civilization that will determine whether or not We The People reclaim c https://t.co/a84WMHpSYy",TeamTrump,NA,32956,16759,en,NA,NA
Dem Gov. of MN. just announced that the Affordable Care Act (Obamacare) is no longer affordable. I've been saying this for years- disaster!,realDonaldTrump,NA,42983,16385,en,NA,NA
"Join me in Greensboro, North Carolina tomorrow at 2:00pm! #TrumpRallyhttps://t.co/vpLryxCyoq https://t.co/dRra2AqayJ",realDonaldTrump,NA,20142,7742,en,TrumpRally,United States
"Join me live in Cincinnati, Ohio!#TrumpRally #MAGAhttps://t.co/MzqgNNVfZb",realDonaldTrump,NA,17697,5684,en,TrumpRally MAGA,Cincinnati
"Thank you to our U.S. Navy for protecting our country, both in times of peace &amp; war. Together, WE WILL MAKE AMERICA https://t.co/v23jCl4tEQ",realDonaldTrump,NA,47597,17389,en,NA,Kentucky
"WHAT THEY ARE SAYING ABOUT THE CLINTON CAMPAIGNS ANTI-CATHOLIC BIGOTRY: https://t.co/oRUlaT4zbn",realDonaldTrump,NA,27570,14395,en,NA,Manhattan
"Thank you for your support Greensboro, North Carolina. Next stop - Charlotte! #MAGAhttps://t.co/3KWOl2ibaW https://t.co/jjde4W1hz2",realDonaldTrump,NA,25842,9817,en,MAGA,Greensboro
Make sure you're registered to vote! Let's #MakeAmericaGreatAgain! We can't afford more years of FAILURE! All info: https://t.co/MgV5urLhB0,realDonaldTrump,NA,27683,12550,en,MakeAmericaGreatAgain,NA
"Thank you Charlotte, North Carolina! We are going to have an AMAZING victory on November 8th...because this is all https://t.co/A7Ql7KuMfT",realDonaldTrump,NA,32883,12106,en,NA,Charlotte
"Thank you @TrumpWomensTour!#MakeAmericaGreatAgain https://t.co/R4oxaHpsAB",realDonaldTrump,NA,31960,15272,en,MakeAmericaGreatAgain,United States
"100% fabricated and made-up charges, pushed strongly by the media and the Clinton Campaign, may poison the minds of the American Voter. FIX!",realDonaldTrump,NA,41551,15932,en,NA,NA
"This election is being rigged by the media pushing false and unsubstantiated charges, and outright lies, in order to elect Crooked Hillary!",realDonaldTrump,NA,78328,30293,en,NA,NA
"Will be in Bangor, Maine today at 3pm- join me! #MAGATickets: https://t.co/NY7E1FBOB7 https://t.co/5TN2wvnR7J",realDonaldTrump,NA,16097,6379,en,MAGA,NA
Hillary Clinton should have been prosecuted and should be in jail. Instead she is running for president in what looks like a rigged election,realDonaldTrump,NA,83823,35597,en,NA,NA
Mr. Trump removing the broken teleprompter in North Carolina-in front of a massive crowd. He goes on&amp;delivers the b https://t.co/dyNxc1HDTW,DanScavino,NA,26870,11587,en,NA,Dedham
The truth is a beautiful weapon. https://t.co/P7FrFhicvw,realDonaldTrump,NA,26644,13607,en,NA,Newington
"Landing in New Hampshire soon to talk about the massive drug problem there, and all over the country.",realDonaldTrump,NA,23451,7358,en,NA,United States
"The MOVEMENT in Portsmouth, New Hampshire w/ 7K supporters. THANK YOU! This is the biggest election of our lifetime https://t.co/4otZyjYLc2",realDonaldTrump,NA,32107,12793,en,NA,Maine
Nothing ever happened with any of these women. Totally made up nonsense to steal the election. Nobody has more respect for women than me!,realDonaldTrump,NA,58980,20525,en,NA,NA
"The failing @nytimes reporters don't even call us anymore, they just write whatever they want to write, making up sources along the way!",realDonaldTrump,NA,38590,15833,en,NA,NA
"Thank you Bangor, Maine! Get out &amp; #VoteTrumpPence16 on 11/8/16- and together we will MAKE AMERICA SAFE AND GREAT A https://t.co/sUSh8v07MW",realDonaldTrump,NA,26507,11040,en,VoteTrumpPence16,United States
