text,screen_name,created,favoriteCount,retweetCount,lang,hashtags,location
"Join me in Henderson, Nevada on Wednesday at 11:30am! #MAGA Tickets: https://t.co/pWTYv9BbUE",realDonaldTrump,2016-03-10,14561,5926,en,MAGA,NA
"Thank you Pueblo, Colorado! #TrumpRally #AmericaFirsthttps://t.co/3KWOl20zMm https://t.co/rFAf7xYNhy",realDonaldTrump,2016-03-10,15798,6390,es,TrumpRally AmericaFirst,Pueblo
We must bring the truth directly to hard-working Americans who want to take our country back. #BigLeagueTruth https://t.co/0iAeiPYEhO,realDonaldTrump,2016-03-10,24780,11429,en,BigLeagueTruth,Pueblo
"Thank you Colorado! #MAGAhttps://t.co/3KWOl20zMmhttps://t.co/M7QhdCgRzw https://t.co/wIGNtKPA2X",realDonaldTrump,2016-04-10,21923,8883,en,MAGA,Denver
"Join me in Reno, Nevada on Wednesday at 3:30pm at the Reno-Sparks Convention Center! #MAGATickets: https://t.co/G0NvFLQWgS",realDonaldTrump,2016-04-10,15400,6573,en,MAGA,NA
"Join me in Reno, Nevada tomorrow at 3:30pm! #AmericaFirst #MAGATickets: https://t.co/DJ7JJUkkz7",realDonaldTrump,2016-04-10,9273,3180,en,AmericaFirst MAGA,Arizona
I will be watching the great Governor @Mike_Pence and live tweeting the VP debate tonight starting at 8:30pm est! Enjoy!,realDonaldTrump,2016-04-10,24509,7120,en,NA,Arizona
"My childcare plan makes a difference for working families - more money, more freedom. #AmericaFirst means https://t.co/X3Yn3FZphf",realDonaldTrump,2016-04-10,22542,9110,en,AmericaFirst,Arizona
"Thank you ARIZONA! This is a MOVEMENT like nobody has ever seen before. Together, we are going to MAKE AMERICA SAFE https://t.co/EwP4hnaeoE",realDonaldTrump,2016-04-10,18486,6562,en,NA,Arizona
"Join the MOVEMENT!https://t.co/3KWOl20zMm https://t.co/BS5JLelPJd",realDonaldTrump,2016-04-10,13333,5318,en,NA,United States
"Wow, did you just hear Bill Clinton's statement on how bad ObamaCare is. Hillary not happy. As I have been saying, REPEAL AND REPLACE!",realDonaldTrump,2016-04-10,32465,11238,en,NA,NA
"Wow, @CNN is so negative. Their panel is a joke, biased and very dumb. I'm turning to @FoxNews where we get a fair shake! Mike will do great",realDonaldTrump,2016-05-10,33125,7972,en,NA,NA
I will be live-tweeting the V.P. Debate. Very exciting! MAKE AMERICA GREAT AGAIN!,realDonaldTrump,2016-05-10,19882,5155,en,NA,NA
Here we go - Enjoy!,realDonaldTrump,2016-05-10,16943,3949,en,NA,NA
Both are looking good! Now we begin!,realDonaldTrump,2016-05-10,10974,2112,en,NA,NA
.@megynkelly- I am in Nevada. Sorry to inform you Kellyanne is in the audience. Better luck next time.,realDonaldTrump,2016-05-10,13863,3567,en,NA,Nevada
"""@RoadkingL: @mike_pence Wow, Kaine couldn't go 12 seconds without a lie. Marines and military are scared of the liar running. #bengazi""",realDonaldTrump,2016-05-10,20391,6420,en,bengazi,NA
"""@lainey34210: @realDonaldTrump Great opening Pence<f0><U+009F><U+0092><U+0095>""",realDonaldTrump,2016-05-10,17032,3563,en,NA,NA
"""@Susiesentinel: #pence is so much more likeable than Kaine #cbsnews @realDonaldTrump""",realDonaldTrump,2016-05-10,22041,5304,en,pence cbsnews,NA
RT @mike_pence: Theres one clear choice in this election to create jobs and grow the American economy. #VPDebate https://t.co/cvv0cK6Fbt,realDonaldTrump,2016-05-10,0,12475,en,VPDebate,NA
RT @joshrogin: Pence is right. Clinton &amp; Obama tried to negotiate an Iraq troop extension but failed. Bush admin always anticipated such an,realDonaldTrump,2016-05-10,0,5418,en,NA,NA
"""@bigdog_joey: @realDonaldTrump @timkaine is so angry. Our @mike_pence looks great. kaine can't defend all those lies #makeamericagreatagain",realDonaldTrump,2016-05-10,19984,5708,en,makeamericagreatagain,NA
RT @TeamTrump: .@timkaine has a pay-to-play problem just like Crooked @HillaryClinton #VPDebates #BigLeagueTruth https://t.co/SPOIn8AN8m,realDonaldTrump,2016-05-10,0,9874,en,VPDebates BigLeagueTruth,NA
"""@elisac006: @nycmia @realDonaldTrump I agree. Kaine looks like a fool!!""",realDonaldTrump,2016-05-10,19241,4822,en,NA,NA
"""@Jnelson52722: @realDonaldTrump @Susiesentinel Kaine looks like an evil crook out of the Batman movies""",realDonaldTrump,2016-05-10,27735,8857,en,NA,NA
