text,favoriteCount,created,statusSource,screenName,retweetCount,location
The brave men and women who have served our country deserve better than Donald Trump. https://t.co/SmLmTrVhOr,15532,16-09-16,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",HillaryClinton,7609,"New York, NY"
Hillary’s live at @CHCI. Tune in to hear about her vision for an inclusive America. https://t.co/dkg7pwiNMt,1397,16-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,457,"New York, NY"
"""Donald Trump looks at a distinguished judge born in Indiana, and he sees a Mexican, not an American.” —Hillary",1646,16-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,811,"New York, NY"
"Donald Trump still refuses to say @POTUS was born in America. And this man wants to be our president?When will he stop this ugliness?",8157,16-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,2731,"New York, NY"
Trump’s birtherism stems from the same innate beliefs that led to discriminating against black tenants early in his career. Can't be undone.,5752,16-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,2951,"New York, NY"
"“Let’s reject the cynicism, the bullying, and the divisive rhetoric that my opponent is using to try and make us all afraid of each other.”",2862,16-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,1147,"New York, NY"
President Obama’s successor cannot and will not be the man who led the racist birther movement. Period.,32859,16-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,13266,"New York, NY"
Let’s build a future where love trumps hate. https://t.co/tTgeqxNqYm,2259,16-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,962,"New York, NY"
"“The American people deserve something to vote for, not just against.” —Hillary https://t.co/jd5Lwh595S",1114,16-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,577,"New York, NY"
"""We’ll remember the pain of the Mothers of the Movement and fight for a criminal justice system that actually delivers justice.” —Hillary",1095,16-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,495,"New York, NY"
